FONTS.md	FONTS	/		658	
佛藏/乾隆藏/大乘五大部外重译经/佛说放钵经.md	佛说放钵经	/佛藏/乾隆藏/大乘五大部外重译经		11028	cbeta:T0629;kanripo:KR6i0266/CBETA|KR6i0266/T|KR6i0266/TKD
佛藏/乾隆藏/大乘五大部外重译经/佛说文殊尸利行经.md	佛说文殊尸利行经	/佛藏/乾隆藏/大乘五大部外重译经		12666	
佛藏/乾隆藏/大乘五大部外重译经/佛说文殊师利巡行经.md	佛说文殊师利巡行经	/佛藏/乾隆藏/大乘五大部外重译经	[元魏]菩提流支	10300	cbeta:T0470;kanripo:KR6i0071/CBETA|KR6i0071/T|KR6i0071/TKD
佛藏/乾隆藏/大乘五大部外重译经/佛说文殊师利现宝藏经.md	佛说文殊师利现宝藏经	/佛藏/乾隆藏/大乘五大部外重译经	[西晋]竺法护	68123	cbeta:T0461;kanripo:KR6i0062/CBETA|KR6i0062/T|KR6i0062/TKD
佛藏/乾隆藏/大乘五大部外重译经/佛说无垢贤女经.md	佛说无垢贤女经	/佛藏/乾隆藏/大乘五大部外重译经	[西晋]竺法护	5323	cbeta:T0562;kanripo:KR6i0194/CBETA|KR6i0194/T|KR6i0194/TKD
佛藏/乾隆藏/大乘五大部外重译经/佛说无崖际总持法门经.md	佛说无崖际总持法门经	/佛藏/乾隆藏/大乘五大部外重译经	[西秦]圣坚	24488	cbeta:T1342;kanripo:KR6j0572/CBETA|KR6j0572/T|KR6j0572/TKD
佛藏/乾隆藏/大乘五大部外重译经/佛说无希望经.md	佛说无希望经	/佛藏/乾隆藏/大乘五大部外重译经	[西晋]竺法护	32409	cbeta:T0813;kanripo:KR6i0519/CBETA|KR6i0519/T|KR6i0519/TKD
佛藏/乾隆藏/大乘五大部外重译经/佛说无极宝三昧经.md	佛说无极宝三昧经	/佛藏/乾隆藏/大乘五大部外重译经		51859	
佛藏/乾隆藏/大乘五大部外重译经/佛说无量门微密持经.md	佛说无量门微密持经	/佛藏/乾隆藏/大乘五大部外重译经	[吴]支谦	9999	cbeta:T1011;kanripo:KR6j0204/CBETA|KR6j0204/T|KR6j0204/TKD
佛藏/乾隆藏/大乘五大部外重译经/佛说无量门破魔陀罗尼经.md	佛说无量门破魔陀罗尼经	/佛藏/乾隆藏/大乘五大部外重译经		18343	
